[2025-10-17 17:26:29,350] INFO [Controller id=0 epoch=4] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2025-10-17 17:28:34,346] INFO [Controller id=0 epoch=5] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-10-17 17:28:34,359] INFO [Controller id=0 epoch=5] Sending LeaderAndIsr request to broker 0 with 56 become-leader and 0 become-follower partitions (state.change.logger)
[2025-10-17 17:28:34,360] INFO [Controller id=0 epoch=5] Sending UpdateMetadata request to brokers HashSet(0) for 56 partitions (state.change.logger)
[2025-10-17 17:28:34,466] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2025-10-17 17:28:34,476] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 5 as part of the become-leader transition for 56 partitions (state.change.logger)
[2025-10-17 17:28:34,480] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,485] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,489] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,492] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,496] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,500] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,504] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,508] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,510] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,513] INFO [Broker id=0] Leader tp_bankingapp-0 with topic id Some(20zlnzozS8KZBM2GMdb-Jw) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,513] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
